Player 0, Player 1, Player 2, Player 3
56, 14, 13, 17, 
47, 14, 19, 20, 
61, 9, 17, 13, 
48, 21, 14, 17, 
56, 21, 16, 7, 
45, 18, 17, 20, 
51, 16, 19, 14, 
55, 19, 14, 12, 
51, 18, 16, 15, 
56, 13, 14, 17, 
49, 17, 17, 17, 
57, 12, 10, 21, 
51, 14, 17, 18, 
53, 11, 14, 22, 
64, 12, 11, 13, 
53, 17, 17, 13, 
56, 13, 14, 17, 
59, 16, 10, 15, 
50, 17, 16, 17, 
45, 14, 25, 16, 
58, 14, 14, 14, 
46, 19, 17, 18, 
50, 20, 12, 18, 
50, 15, 17, 18, 
52, 17, 16, 15, 
50, 14, 15, 21, 
52, 11, 18, 19, 
53, 18, 12, 17, 
55, 13, 17, 15, 
51, 17, 14, 18, 
47, 27, 10, 16, 
44, 16, 17, 23, 
50, 14, 22, 14, 
52, 18, 20, 10, 
57, 14, 14, 15, 
48, 17, 9, 26, 
51, 16, 11, 22, 
53, 14, 19, 14, 
51, 24, 12, 13, 
56, 11, 18, 15, 
53, 12, 11, 24, 
49, 15, 21, 15, 
52, 16, 16, 16, 
43, 20, 14, 23, 
55, 16, 15, 14, 
44, 17, 19, 20, 
37, 24, 21, 18, 
55, 18, 16, 11, 
53, 16, 19, 12, 
54, 16, 15, 15, 
58, 17, 14, 11, 
56, 9, 22, 13, 
52, 14, 19, 15, 
54, 9, 20, 17, 
53, 17, 14, 16, 
58, 15, 13, 14, 
52, 23, 12, 13, 
49, 14, 23, 14, 
52, 15, 17, 16, 
62, 13, 11, 14, 
55, 13, 16, 16, 
46, 25, 18, 11, 
62, 7, 14, 17, 
56, 18, 15, 11, 
44, 15, 18, 23, 
47, 18, 22, 13, 
50, 23, 13, 14, 
56, 14, 15, 15, 
47, 21, 10, 22, 
51, 6, 23, 20, 
55, 12, 15, 18, 
43, 23, 12, 22, 
50, 18, 17, 15, 
43, 17, 18, 22, 
51, 17, 15, 17, 
50, 19, 15, 16, 
49, 15, 19, 17, 
57, 15, 10, 18, 
62, 13, 10, 15, 
53, 13, 20, 14, 
56, 13, 18, 13, 
51, 15, 13, 21, 
53, 15, 17, 15, 
63, 10, 14, 13, 
56, 15, 16, 13, 
56, 12, 15, 17, 
52, 22, 9, 17, 
45, 21, 18, 16, 
42, 21, 14, 23, 
56, 13, 18, 13, 
52, 13, 15, 20, 
51, 17, 12, 20, 
41, 19, 17, 23, 
58, 16, 15, 11, 
47, 16, 17, 20, 
60, 17, 12, 11, 
53, 19, 15, 13, 
48, 16, 15, 21, 
47, 23, 10, 20, 
60, 18, 12, 10, 
45, 29, 13, 13, 
53, 18, 16, 13, 
46, 17, 17, 20, 
49, 11, 25, 15, 
47, 22, 14, 17, 
50, 23, 17, 10, 
56, 16, 15, 13, 
42, 19, 29, 10, 
62, 16, 9, 13, 
53, 12, 24, 11, 
50, 17, 19, 14, 
43, 17, 20, 20, 
46, 23, 11, 20, 
47, 18, 26, 9, 
49, 17, 19, 15, 
55, 11, 16, 18, 
52, 19, 19, 10, 
46, 18, 16, 20, 
50, 17, 17, 16, 
53, 15, 20, 12, 
46, 24, 17, 13, 
46, 13, 19, 22, 
64, 10, 15, 11, 
54, 19, 14, 13, 
53, 22, 15, 10, 
54, 18, 12, 16, 
56, 13, 16, 15, 
62, 14, 10, 14, 
56, 20, 13, 11, 
50, 21, 13, 16, 
52, 14, 8, 26, 
63, 13, 14, 10, 
56, 16, 16, 12, 
54, 17, 15, 14, 
54, 17, 12, 17, 
56, 19, 12, 13, 
43, 18, 21, 18, 
53, 15, 9, 23, 
49, 17, 16, 18, 
58, 10, 16, 16, 
63, 12, 16, 9, 
48, 17, 16, 19, 
43, 19, 25, 13, 
55, 12, 15, 18, 
51, 18, 14, 17, 
57, 10, 15, 18, 
46, 22, 19, 13, 
49, 18, 16, 17, 
44, 22, 19, 15, 
52, 18, 11, 19, 
54, 15, 14, 17, 
67, 14, 11, 8, 
55, 19, 13, 13, 
54, 12, 13, 21, 
49, 11, 17, 23, 
52, 18, 14, 16, 
50, 12, 17, 21, 
52, 18, 15, 15, 
50, 22, 13, 15, 
49, 22, 15, 14, 
57, 18, 11, 14, 
51, 18, 15, 16, 
55, 13, 14, 18, 
48, 15, 22, 15, 
59, 15, 13, 13, 
52, 13, 15, 20, 
55, 18, 19, 8, 
50, 20, 17, 13, 
47, 10, 21, 22, 
46, 17, 22, 15, 
51, 14, 21, 14, 
52, 18, 17, 13, 
56, 13, 19, 12, 
47, 14, 16, 23, 
50, 20, 15, 15, 
45, 19, 19, 17, 
47, 14, 15, 24, 
58, 14, 16, 12, 
56, 15, 16, 13, 
51, 22, 14, 13, 
52, 11, 22, 15, 
52, 17, 16, 15, 
56, 13, 14, 17, 
48, 17, 16, 19, 
47, 18, 17, 18, 
56, 21, 13, 10, 
51, 15, 13, 21, 
63, 10, 12, 15, 
47, 16, 18, 19, 
48, 18, 18, 16, 
52, 20, 14, 14, 
56, 12, 14, 18, 
49, 14, 21, 16, 
51, 17, 16, 16, 
52, 14, 17, 17, 
50, 10, 22, 18, 
50, 17, 12, 21, 
58, 15, 10, 17, 
52, 18, 17, 13, 
58, 18, 12, 12, 
51, 16, 18, 15, 
51, 15, 16, 18, 
40, 21, 18, 21, 
51, 16, 19, 14, 
51, 21, 13, 15, 
54, 12, 15, 19, 
49, 20, 14, 17, 
51, 20, 17, 12, 
57, 14, 17, 12, 
55, 14, 17, 14, 
54, 17, 15, 14, 
60, 16, 12, 12, 
60, 17, 10, 13, 
52, 11, 19, 18, 
61, 15, 13, 11, 
49, 24, 11, 16, 
63, 11, 8, 18, 
51, 18, 18, 13, 
59, 17, 13, 11, 
43, 15, 31, 11, 
51, 21, 11, 17, 
55, 19, 10, 16, 
48, 17, 14, 21, 
57, 14, 16, 13, 
49, 23, 11, 17, 
53, 21, 10, 16, 
52, 14, 19, 15, 
42, 14, 22, 22, 
43, 19, 19, 19, 
60, 13, 13, 14, 
49, 19, 11, 21, 
49, 20, 16, 15, 
49, 17, 15, 19, 
47, 10, 22, 21, 
52, 13, 16, 19, 
52, 16, 12, 20, 
44, 16, 26, 14, 
48, 11, 23, 18, 
48, 19, 18, 15, 
44, 21, 15, 20, 
62, 14, 15, 9, 
56, 14, 16, 14, 
59, 11, 16, 14, 
51, 19, 17, 13, 
50, 21, 12, 17, 
63, 15, 10, 12, 
54, 24, 12, 10, 
53, 20, 13, 14, 
51, 16, 18, 15, 
56, 11, 14, 19, 
47, 21, 19, 13, 
53, 20, 20, 7, 
49, 20, 15, 16, 
50, 18, 16, 16, 
64, 16, 14, 6, 
56, 12, 20, 12, 
45, 10, 20, 25, 
